steps,pass4_success_rate,single_run_success_rate
0,0.0,0.0
1,1.1111111111111112,0.2785515320334262
2,3.0555555555555554,2.2284122562674096
3,6.388888888888888,5.013927576601671
4,10.555555555555555,7.242339832869081
5,18.88888888888889,12.534818941504177
6,24.72222222222222,18.384401114206128
7,28.61111111111111,21.448467966573816
8,33.33333333333333,24.79108635097493
9,36.11111111111111,28.133704735376046
10,38.611111111111114,29.247910863509752
11,40.55555555555556,31.197771587743734
12,42.5,32.86908077994429
13,44.166666666666664,33.70473537604457
14,44.72222222222222,33.98328690807799
15,45.27777777777778,34.540389972144844
16,46.38888888888889,35.37604456824512
17,47.5,35.93314763231198
18,49.166666666666664,37.04735376044568
19,49.44444444444444,37.60445682451253
20,50.0,38.440111420612816
21,50.55555555555556,38.99721448467967
22,50.83333333333333,40.11142061281337
23,51.11111111111111,40.66852367688023
24,51.66666666666667,40.947075208913645
25,51.94444444444445,40.947075208913645
26,52.22222222222223,41.22562674094708
27,52.5,42.061281337047355
28,52.77777777777778,42.33983286908078
29,52.77777777777778,42.33983286908078
30,52.77777777777778,42.33983286908078
31,52.77777777777778,42.618384401114206
32,53.61111111111111,43.45403899721448
33,53.61111111111111,43.73259052924791
34,53.61111111111111,44.01114206128134
35,53.888888888888886,44.01114206128134
36,54.166666666666664,44.01114206128134
37,54.44444444444444,44.01114206128134
38,54.72222222222223,44.01114206128134
39,55.00000000000001,44.28969359331476
40,55.00000000000001,44.28969359331476
41,55.55555555555556,44.28969359331476
42,56.111111111111114,44.84679665738162
43,56.666666666666664,44.84679665738162
44,56.94444444444444,45.12534818941504
45,56.94444444444444,45.12534818941504
46,57.22222222222222,45.682451253481894
47,57.49999999999999,45.682451253481894
48,57.77777777777777,45.682451253481894
49,57.77777777777777,45.682451253481894
50,57.77777777777777,45.682451253481894
51,57.77777777777777,45.682451253481894
52,57.77777777777777,45.682451253481894
53,58.05555555555556,45.682451253481894
54,58.05555555555556,45.682451253481894
55,58.05555555555556,45.682451253481894
56,58.05555555555556,45.682451253481894
57,58.05555555555556,45.682451253481894
58,58.05555555555556,45.682451253481894
59,58.333333333333336,45.682451253481894
60,58.611111111111114,45.682451253481894
61,58.611111111111114,45.682451253481894
62,58.611111111111114,46.239554317548745
63,58.88888888888889,46.239554317548745
64,59.166666666666664,46.239554317548745
65,59.44444444444444,46.51810584958218
66,59.44444444444444,46.51810584958218
67,59.44444444444444,46.51810584958218
68,59.44444444444444,46.51810584958218
69,59.44444444444444,46.796657381615596
70,59.44444444444444,47.07520891364902
71,59.72222222222222,47.07520891364902
72,60.0,47.07520891364902
73,60.0,47.07520891364902
74,60.0,47.07520891364902
75,60.0,47.07520891364902
76,60.0,47.07520891364902
77,60.0,47.07520891364902
78,60.0,47.07520891364902
79,60.0,47.07520891364902
80,60.0,47.07520891364902
81,60.0,47.07520891364902
82,60.0,47.07520891364902
83,60.0,47.07520891364902
84,60.0,47.07520891364902
85,60.27777777777777,47.353760445682454
86,60.27777777777777,47.353760445682454
87,60.27777777777777,47.353760445682454
88,60.27777777777777,47.353760445682454
89,60.83333333333333,47.910863509749305
90,61.111111111111114,47.910863509749305
91,61.38888888888889,47.910863509749305
92,61.66666666666667,47.910863509749305
93,61.66666666666667,47.910863509749305
94,61.66666666666667,47.910863509749305
95,61.66666666666667,47.910863509749305
96,61.66666666666667,48.18941504178273
97,61.66666666666667,48.18941504178273
98,61.94444444444444,48.467966573816156
99,62.77777777777778,49.86072423398329
100,63.33333333333333,50.1628372382854
